"stockid","stocklong","country","region","lme","area","areaid","species","comm_name","msy_source","msy_code","msy_units","msy","year","bbmsy","uumsy","bbmsy_source","uumsy_source","bbmsy_notes","uumsy_notes","catch_type","catch_units","catch"
"SCUPNWATLC","Scup Northwestern Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Northwestern Atlantic Coast","USA-NMFS-NWATLC","Stenotomus chrysops","Scup","Assessment","MSY-MT","MT",11752,2014,2.09617190900552,0.577272727272727,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",10600
"SDOGATLC","Spiny dogfish Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Atlantic Coast","USA-NMFS-ATLC","Squalus acanthias","Spiny dogfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20519.78649,2013,1.32464466877605,0.610655737704918,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",12400
"SEELNSSA1","Sand eel Sandeel Area 1","multinational","European Union","North Sea","Sandeel Area 1","multinational-ICES-SA1","Ammodytes spp","Sand eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",566746.2925,2014,0.573793103448276,4.47070492324606,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",78800
"SEELNSSA2","Sand eel Sandeel Area 2","multinational","European Union","North Sea","Sandeel Area 2","multinational-ICES-SA2","Ammodytes spp","Sand eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",118347.1582,2014,0.526190476190476,0.972362911367081,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",48000
"SEELNSSA3","Sand eel Sandeel Area 3","multinational","European Union","North Sea","Sandeel Area 3","multinational-ICES-SA3","Ammodytes spp","Sand eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",360882.2253,2014,0.773643410852713,1.7975635933157,"Assessment","Uses scaled reference point","SSBdivSSBmgt-calc-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",90900
"SFLOUNMATLC","Summer flounder Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Mid-Atlantic Coast","USA-NMFS-MATLC","Paralichthys dentatus","Summer flounder","Assessment","MSY-MT","MT",12945,2014,0.645895438663974,1.16181229773463,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",10200
"SHAKE4VWX","Silver hake Scotian Shelf and Bay of Fundy","Canada","Canada East Coast","Scotian Shelf","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","Merluccius bilinearis","Silver hake","Assessment","MSY-MT","MT",16000,2014,2.47457627118644,0.175029965753425,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",6930
"SHCROCKPCOAST","Sharpchin rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes zacentrus","Sharpchin rockfish","Assessment","MSY-MT","MT",270,2012,2.17327148013076,0.06,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",13.7
"SILVERFISHSE","Silverfish Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Seriolella punctata","Silverfish","Assessment","MSY-MT","MT",2064.398075,2014,0.776810731143678,0.318943938676513,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",381.5389
"SKJCIO","Skipjack tuna Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",510000,2014,0.909,0.875,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",441000
"SKJCWPAC","Skipjack tuna Central Western Pacific Ocean","multinational","Pacific Ocean","North Pacific Ocean","Central Western Pacific Ocean","multinational-WCPFC-CWPAC","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",1618800,2014,2.03,0.603577237583552,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",1980000
"SKJEATL","Skipjack tuna Eastern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Eastern Atlantic","multinational-ICCAT-EATL","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",156500,2006,1.71,0.431975689193939,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",116000
"SKJWATL","Skipjack tuna Western Atlantic","multinational","Atlantic Ocean","North Brazil Shelf","Western Atlantic","multinational-ICCAT-WATL","Katsuwonus pelamis","Skipjack tuna","Assessment","MSY-MT","MT",31620,2013,1.2,0.488687782805428,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",18600
"SMDOGATL","Smooth dogfish Atlantic","USA","US East Coast","Northeast U.S. Continental Shelf","Atlantic","USA-NMFS-ATL","Mustelus canis","Smooth dogfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1358.497421,2012,2.12135846219994,0.790697674418605,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1451.2
"SMOOTHOREOBP","Smooth oreo Bounty Plateau","New Zealand","New Zealand","New Zealand Shelf","Bounty Plateau","New Zealand-MFish-BP","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",447,2008,0.828610064159738,0.721428571428571,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",670
"SMOOTHOREOCR","Smooth oreo Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","Chatham Rise","New Zealand-MFish-CR","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",2996,2013,0.72121960722546,1.55,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",5960
"SMOOTHOREOEPR","Smooth oreo East Pukaki Rise","New Zealand","New Zealand","New Zealand Shelf","East Pukaki Rise","New Zealand-MFish-EPR","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",443,2006,0.888,1.975,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1370
"SMOOTHOREOSLD","Smooth oreo Southland","New Zealand","New Zealand","New Zealand Shelf","Southland","New Zealand-MFish-SLD","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",420.72,2007,0.793,0.778587353351432,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",260
"SMOOTHOREOWECR","Smooth oreo West end of Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","West end of Chatham Rise","New Zealand-MFish-WECR","Pseudocyttus maculatus","Smooth oreo","Assessment","MSY-MT","MT",2179,2009,0.883006422081843,0.1875,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1530
"SMSHRMPMEDGSA17-18","Spottail mantis shrimp Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea","Mediterranean Sea","Adriatic Sea (GSA 17,18)","multinational-GFCM-GSA17-18","Squilla mantis","Spottail mantis shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",6715.999598,2014,1.68133877244779,1.2375,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",4290
"SMULLMEDGSA15-16","Surmullet Malta Island and South of Sicily (GSA 15, 16)","multinational","Mediterranean-Black Sea","Mediterranean Sea","Malta Island and South of Sicily (GSA 15, 16)","multinational-GFCM-GSA15-16","Mullus surmuletus","Surmullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2165.315352,2012,1.9032608987541,4.10526315789474,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",753
"SMULLMEDGSA9","Surmullet Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Mullus surmuletus","Surmullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",440.2811169,2014,1.80508835087827,1.17307692307692,"Uses model estimated reference point","Assessment","TBdivTBmsy-est-dimensionless","FdivFmgt-calc-dimensionless","TC","MT",305
"SNAPSAUSSSG","Snapper Southern Spencer Gulf","Australia","Australia","South West Australian Shelf","Southern Spencer Gulf","Australia-SARDI-SAUSSSG","Pagrus auratus","Snapper","Estimated from Fox or Schaefer model","MSY-est-MT","MT",370.5969445,2009,1.45475758110453,0.664034376847198,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",167
"SNOWCRABBS","Snow crab Bering Sea","USA","US Alaska","East Bering Sea","Bering Sea","USA-NMFS-BS","Chionoecetes opilio","Snow crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",47733.39516,2012,4.63934078998613,0.373417721518987,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",42100
"SNOWCRABESJ","Snow crab Sea of Japan East","Japan","Japan","Sea of Japan","Sea of Japan East","Japan-FAJ-ESJ","Chionoecetes opilio","Snow crab","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",829.135,2013,1.47527242246438,0.216644865925442,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",265
"SNOWCRABNPAC","Snow crab North Pacific","Japan","Japan","Kuroshio Current","North Pacific","Japan-FAJ-NPAC","Chionoecetes opilio","Snow crab","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",159.068,2013,0.385627530364372,0.042386006097064,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",2.6
"SNOWCRABSGSL","Snow crab Southern Gulf of St. Lawrence","Canada","Canada East Coast","Scotian Shelf","Southern Gulf of St. Lawrence","Canada-DFO-4T","Chionoecetes opilio","Snow crab","Estimated from Fox or Schaefer model","MSY-est-MT","MT",22948.96397,2014,1.03903336663844,1.05023165435177,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",24400
"SNOWCRABWSJ","Snow crab Sea of Japan West","Japan","Japan","Sea of Japan","Sea of Japan West","Japan-FAJ-WSJ","Chionoecetes opilio","Snow crab","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",5475.84,2013,1.95476858345021,0.300822122571002,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3220
"SNOWGROUPSATLC","Snowy grouper Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Hyporthodus niveatus","Snowy grouper","Assessment","MSY-MT","MT",189.8737661,2012,0.48951048951049,1.07237992031008,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",110
"SNROCKPCOAST","Splitnose rockfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastes diploproa","Splitnose rockfish","Assessment","MSY-MT","MT",1268,2008,1.86650485436893,0.0577889447236181,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",66
"SOLECS","Common sole Celtic Sea","multinational","European Union","Celtic-Biscay Shelf","Celtic Sea","multinational-ICES-VIIf-g","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1132.601237,2014,1.05416666666667,1.72262773722628,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",1060
"SOLEIIIa-2224","Common sole ICES 22-24-3a","multinational","European Union","Baltic Sea","ICES 22-24-3a","multinational-ICES-22-24-IIIa","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",929.650117,2014,0.865384615384615,0.708695652173913,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",335
"SOLEIS","Common sole Irish Sea","multinational","European Union","Celtic-Biscay Shelf","Irish Sea","multinational-ICES-VIIa","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1354.503223,2014,0.255428571428571,0.585,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",107
"SOLENS","Common sole North Sea","multinational","European Union","North Sea","North Sea","multinational-ICES-IV","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",25032.4721,2014,1.21428571428571,1.3,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",14600
"SOLEVIId","Common sole Eastern English Channel","multinational","European Union","Celtic-Biscay Shelf","Eastern English Channel","multinational-ICES-VIId","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4828.300728,2014,1.09085242325074,1.2109375,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",5180
"SOLEVIIe","Common sole Western English Channel","multinational","European Union","Celtic-Biscay Shelf","Western English Channel","multinational-ICES-VIIe","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1122.685583,2014,1.30927105449398,0.790378006872852,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",895
"SOLEVIIIab","Common sole ICES 8ab","multinational","European Union","Celtic-Biscay Shelf","ICES 8ab","multinational-ICES-VIIIab","Solea solea","Common sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7983.341135,2014,0.971698113207547,1.32727272727273,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",3930
"SOUTHHAKECH","Southern hake Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Merluccius australis","Southern hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19375.04508,2014,0.539443155452436,1.08626198083067,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",17000
"SOUTHHAKECR","Southern hake Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","Chatham Rise","New Zealand-MFish-CR","Merluccius australis","Southern hake","Assessment","MSY-MT","MT",4144,2012,1.23382485705688,0.0973699361725887,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",950
"SOUTHHAKESA","Southern hake Sub-Antarctic","New Zealand","New Zealand","New Zealand Shelf","Sub-Antarctic","New Zealand-MFish-SA","Merluccius australis","Southern hake","Assessment","MSY-MT","MT",4341,2014,1.43553293190142,0.22,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",1800
"SOUTHHAKEWCSI","Southern hake West Coast South Island","New Zealand","New Zealand","New Zealand Shelf","West Coast South Island","New Zealand-MFish-WCSI","Merluccius australis","Southern hake","Assessment","MSY-MT","MT",8077,2012,1.40263847670212,0.16,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-dimensionless","TC","MT",3600
"SPANMACKGM","Spanish mackerel Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","Gulf of Mexico","USA-NMFS-GM","Scomberomorus maculatus","Spanish mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1504.293125,2011,1.83770190540671,0.333333333333333,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless",NA,NA,NA
"SPANMACKSATLC","Spanish mackerel Southern Atlantic coast","USA","US Southeast and Gulf","Southeast U.S. Continental Shelf","Southern Atlantic coast","USA-NMFS-SATLC","Scomberomorus maculatus","Spanish mackerel","Assessment","MSY-MT","MT",2750,2011,1.48805878750765,0.550928925619835,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TL","MT",1920
"SPANMACKSETO","Japanese Spanish mackerel Inland Sea of Japan","Japan","Japan","Kuroshio Current","Inland Sea of Japan","Japan-FAJ-SETO","Scomberomorus niphonius","Japanese spanish mackerel","Assessment","MSY-MT","MT",6926.257021,2013,0.150834979349973,1.27581189658756,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1780
"SPHAKECH","South Pacific hake Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Merluccius gayi gayi","South pacific hake","Estimated from Fox or Schaefer model","MSY-est-MT","MT",60523.9067,2014,0.44,0.47,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TL","MT",18000
"SPRAT22-32","Sprat Baltic Areas 22-32","multinational","European Union","Baltic Sea","Baltic Areas 22-32","multinational-ICES-22-32","Sprattus sprattus","Sprat","Estimated from Fox or Schaefer model","MSY-est-MT","MT",252295.0787,2014,1.21929824561404,1.55,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",244000
"SPRBLKGSA29","Sprat Black Sea","multinational","Mediterranean-Black Sea","Black Sea","Black Sea","multinational-GFCM-GSA29","Sprattus sprattus","Sprat","Estimated from Fox or Schaefer model","MSY-est-MT","MT",342927.2147,2014,1.520488354694,0.946875,"Uses model estimated reference point","Assessment","SSBdivSSBmsy-est-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",58400
"SPSDOGPCOAST","Spotted spiny dogfish Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Squalus suckleyi","Spotted spiny dogfish","Assessment","MSY-MT","MT",848,2010,1.3512293478588,1.47169811320755,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1160
"SRAKEROCKBSAI","Shortraker rockfish Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Sebastes borealis","Shortraker rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2443.804495,2014,2.10614813917284,0.0382746168750194,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",197
"SRAKEROCKGA","Shortraker rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Sebastes borealis","Shortraker rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3082.679242,2014,1.52772407789413,0.145451200482305,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",685
"SSANDWSJ","Sailfin sandfish Sea of Japan West","Japan","Japan","Sea of Japan","Sea of Japan West","Japan-FAJ-WSJ","Arctoscopus japonicus","Sailfin sandfish","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",6694.38,2013,1.86696900982615,0.298442975788514,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",3730
"SSARDCH","Southern sardine Central-Southern Chile","Chile","South America","Humboldt Current","Central-Southern Chile","Chile-SUBPESCA-CH-CS","Sprattus fuegensis","Southern sardine","Estimated from Fox or Schaefer model","MSY-est-MT","MT",32796.20428,2014,1.00925925925926,1.26470588235294,"Assessment","Assessment","SSBdivSSBmgt-calc-dimensionless","FdivFmgt-calc-dimensionless","TL","MT",23000
"SSHRIMPSMAPRD","Sidestripe shrimp Shrimp Management Area PRD","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area PRD","Canada-DFO-SMA-PRD","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",172.5063707,2010,2.02424570927444,0.152063910710216,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",53.1
"SSSHRIMPSMA14","Sidestripe shrimp Shrimp Management Area 14","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area 14","Canada-DFO-SMA-14","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",44.41607095,2010,2.94124671299522,0.0780779817742689,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",10.2
"SSSHRIMPSMA16","Sidestripe shrimp Shrimp Management Area 16","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area 16","Canada-DFO-SMA-16","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",20.21331739,2010,2.89932854935993,0.0972612458423602,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",5.7
"SSSHRIMPSMA18-19","Sidestripe shrimp Shrimp Management Areas 18 and 19","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Areas 18 and 19","Canada-DFO-SMA-18-19","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",10.99496502,2011,1.13629660374498,0,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",0
"SSSHRIMPSMAFR","Sidestripe shrimp Shrimp Management Area FR","Canada","Canada West Coast","Gulf of Alaska","Shrimp Management Area FR","Canada-DFO-SMA-FR","Pandalopsis dispar","Sidestripe shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",55.48931653,2010,2.84696056329213,0.242442049759229,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TL","MT",38.3
"SSTHORNHGA","Shortspine thornyhead Gulf of Alaska","USA","US Alaska","Gulf of Alaska","Gulf of Alaska","USA-NMFS-GA","Sebastolobus alascanus","Shortspine thornyhead","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3341.997119,2014,1.86896330231459,0.180913759365014,"Uses model estimated reference point","Uses scaled reference point","TBdivTBmsy-est-dimensionless","ERdivERmsy-est-dimensionless","TC","MT",1130
"SSTHORNHPCOAST","Shortspine thornyhead Pacific Coast","USA","US West Coast","California Current","Pacific Coast","USA-NMFS-PCOAST","Sebastolobus alascanus","Shortspine thornyhead","Assessment","MSY-MT","MT",2034,2012,1.85756066714094,0.374,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TC","MT",911
"STFLOUNNPCOAST","Starry flounder Northern Pacific Coast","USA","US West Coast","California Current","Northern Pacific Coast","USA-NMFS-NPCOAST","Platichthys stellatus","Starry flounder","Assessment","MSY-MT","MT",818,2004,1.23834196891192,0.117889773062187,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",104
"STFLOUNSPCOAST","Starry flounder Southern Pacific Coast","USA","US West Coast","California Current","Southern Pacific Coast","USA-NMFS-SPCOAST","Platichthys stellatus","Starry flounder","Assessment","MSY-MT","MT",396,2004,1.5497474745518,0.0747058823623739,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",46
"STMARLINIO","Striped marlin Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",4218,2011,0.523,1.32887832711802,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",2930
"STMARLINNEPAC","Striped marlin Northeast Pacific","multinational","Pacific Ocean","North Pacific Ocean","Northeast Pacific","multinational-IATTC-NEPAC","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",2596,2009,1.52,0.0754,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",1360
"STMARLINSWPO","Striped marlin Western Pacific Ocean","multinational","Pacific Ocean","South Pacific Ocean","Western Pacific Ocean","multinational-WCPFC-SWPAC","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",2081,2011,0.91,0.806148325861262,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",1520
"STMARLINWCNPAC","Striped marlin Western and Central North Pacific","Multinational","Pacific Ocean","North Pacific Ocean","Western and Central North Pacific","multinational-ISC-WCNPAC","Kajikia audax","Striped marlin","Assessment","MSY-MT","MT",5657,2009,0.409162286295644,1.24432635142163,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",2470
"SURFMATLC","Atlantic surfclam Mid-Atlantic Coast","USA","US East Coast","Northeast U.S. Continental Shelf","Mid-Atlantic Coast","USA-NMFS-MATLC","Spisula solidissima","Atlantic surfclam","Assessment","MSY-MT","MT",98000,2011,1.09053497942387,0.174039276087794,"Assessment","Assessment","TBdivTBmsy-calc-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",18600
"SWHITSE","School whiting Southeast Australia","Australia","Australia","Southeast Australian Shelf","Southeast Australia","Australia-AFMA-SE","Sillago flindersi","School whiting","Assessment","MSY-MT","MT",2070.344826,2014,1.80707423228556,0.595407176419117,"Assessment","Assessment","SSBdivSSBmsy-calc-dimensionless","FdivFmsy-calc-dimensionless","TL","MT",1230
"SWORDEPAC","Swordfish Eastern Pacific","multinational","Pacific Ocean","South Pacific Ocean","Eastern Pacific","multinational-IATTC-EPAC","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",54900,2012,1.88,1.06,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-dimensionless","TC","MT",9910
"SWORDIO","Swordfish Indian Ocean","multinational","Indian Ocean","Indian Ocean","Indian Ocean","multinational-IOTC-IO","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",27100,2012,1.81,0.697,"Assessment","Assessment","SSBdivSSBmsy-dimensionless","FdivFmsy-dimensionless","TC","MT",29700
"SWORDMED","Swordfish Mediterranean Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","Mediterranean Sea","multinational-ICCAT-MED","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",14600,2008,0.96,0.954420623864705,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",12200
"SWORDNATL","Swordfish Northern Atlantic","multinational","Atlantic Ocean","North Atlantic Ocean","Northern Atlantic","multinational-ICCAT-NATL","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",13700,2012,1.14,0.886805013679955,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-calc-dimensionless","TC","MT",13800
"SWORDNPAC","Swordfish North Pacific Ocean","Multinational","Pacific Ocean","North Pacific Ocean","North Pacific Ocean","multinational-ISC-NPAC","Xiphias gladius","Swordfish","Assessment","MSY-MT","MT",14920,2012,1.19,0.56,"Assessment","Assessment","TBdivTBmsy-dimensionless","ERdivERmsy-dimensionless","TC","MT",9860
